NOMBRE_COMPLETO,NOMBRE_BREVE,LOCALIDAD,PROVINCIA,clave_normalizada
Banda de Cornetas y Tambores Santísimo Cristo de la Elevación de Campo de Criptana,BCT Santísimo Cristo de la Elevación,Campo de Criptana,Ciudad Real,banda de cornetas y tambores santisimo cristo de la elevacion de campo de criptana
Banda de Cornetas y Tambores Santísimo Cristo de la Expiración – Salud y Esperanza – de Huelva,BCT Santísimo Cristo de la Expiración Salud y Esperanza,Huelva,Huelva,banda de cornetas y tambores santisimo cristo de la expiracion salud y esperanza de huelva
Banda de Cornetas y Tambores Santísimo Cristo de la Vera-Cruz de Los Palacios y Villafranca,BCT Santísimo Cristo de la Vera Cruz,Palacios y Villafranca (Los),Sevilla,banda de cornetas y tambores santisimo cristo de la vera cruz de los palacios y villafranca
Banda de Cornetas y Tambores Santísimo Cristo de la Victoria de León,BCT Santísimo Cristo de la Victoria,León,León,banda de cornetas y tambores santisimo cristo de la victoria de leon
Banda de Cornetas y Tambores Vera-Cruz de Utrera,BCT Vera Cruz,Utrera,Sevilla,banda de cornetas y tambores vera cruz de utrera
Banda de Música Ciudad de Cádiz de Cádiz,BM Ciudad de Cádiz,Cádiz,Cádiz,banda de musica ciudad de cadiz de cadiz
Banda de Música de la Asociación Filarmónica Ciudad de Conil de Conil de la Frontera,BM Asociación Filarmónica Ciudad de Conil,Conil de la Frontera,Cádiz,banda de musica de la asociacion filarmonica ciudad de conil de conil de la frontera
Banda de Música de la Asociación Musical Ecijana – AMUECI – de Écija,BM Asociación Musical Ecijana AMUECI,Écija,Sevilla,banda de musica de la asociacion musical ecijana amueci de ecija
Banda de Música de la Asociación Músico-Cultural Nuestra Señora del Carmen de Villalba del Alcor,BM Asociación Músico Cultural Nuestra Señora del Carmen,Villalba del Alcor,Huelva,banda de musica de la asociacion musico cultural nuestra senora del carmen de villalba del alcor
Banda de Música de la Hermandad del Nazareno de San Fernando,BM Hermandad del Nazareno,San Fernando,Cádiz,banda de musica de la hermandad del nazareno de san fernando
Banda de Música de la Sociedad Filarmónica de Albaida del Aljarafe,BM Sociedad Filarmónica (Albaida del Aljarafe),Albaida del Aljarafe,Sevilla,banda de musica de la sociedad filarmonica de albaida del aljarafe
Banda de Música de la Sociedad Filarmónica de Pilas,BM Sociedad Filarmónica (Pilas),Pilas,Sevilla,banda de musica de la sociedad filarmonica de pilas
Banda de Música de Torredonjimeno,BM Torredonjimeno,Torredonjimeno,Jaén,banda de musica de torredonjimeno
Banda de Música del Maestro Tejera de Sevilla,BM del Maestro Tejera,Sevilla,Sevilla,banda de musica del maestro tejera de sevilla
Banda de Música Felipe Moreno de Cúllar Vega,BM Felipe Moreno,Cúllar Vega,Granada,banda de musica felipe moreno de cullar vega
Banda de Música Gailín de Puerto Serrano,BM Gailín (Puerto Serrano),Puerto Serrano,Cádiz,banda de musica gailin de puerto serrano
Banda de Música Julián Cerdán de Sanlúcar de Barrameda,BM Julián Cerdán,Sanlúcar de Barrameda,Cádiz,banda de musica julian cerdan de sanlucar de barrameda
Banda de Música Juvenil de la Cruz Roja de Sevilla,BM Juvenil de la Cruz Roja,Sevilla,Sevilla,banda de musica juvenil de la cruz roja de sevilla
Banda de Música Los Iris de Instinción,BM Los Iris,Instinción,Almería,banda de musica los iris de instincion
Banda de Música María Santísima de la Esperanza de Córdoba,BM María Santísima de la Esperanza,Córdoba,Córdoba,banda de musica maria santisima de la esperanza de cordoba
Banda de Música María Santísima de la Salud de Barbate,BM María Santísima de la Salud,Barbate,Cádiz,banda de musica maria santisima de la salud de barbate
Banda de Música Municipal de Aznalcóllar,BM Municipal (Aznalcóllar),Aznalcóllar,Sevilla,banda de musica municipal de aznalcollar
Banda de Música Municipal de Bollullos Par del Condado,BM Municipal (Bollullos Par del Condado),Bollullos Par del Condado,Huelva,banda de musica municipal de bollullos par del condado
Banda de Música Municipal de La Puebla del Río,BM Municipal (La Puebla del Río),Puebla del Río (La),Sevilla,banda de musica municipal de la puebla del rio
Banda de Música Municipal de Lora del Río,BM Municipal (Lora del Río),Lora del Río,Sevilla,banda de musica municipal de lora del rio
Banda de Música Municipal Maestro Enrique Galán de Rota,BM Municipal Maestro Enrique Galán,Rota,Cádiz,banda de musica municipal maestro enrique galan de rota
Banda de Música Municipal Maestro Enrique Montero de Chiclana de la Frontera,BM Municipal Maestro Enrique Montero,Chiclana de la Frontera,Cádiz,banda de musica municipal maestro enrique montero de chiclana de la frontera
Banda de Música Nuestra Madre de la Consolación de Huelva,BM Nuestra Madre de la Consolación,Huelva,Huelva,banda de musica nuestra madre de la consolacion de huelva
Banda de Música Nuestra Señora de la Soledad de Mena de Málaga,BM Nuestra Señora de la Soledad de Mena,Málaga,Málaga,banda de musica nuestra senora de la soledad de mena de malaga
Banda de Música Nuestra Señora de los Dolores de Granada,BM Nuestra Señora de los Dolores,Granada,Granada,banda de musica nuestra senora de los dolores de granada
Banda de Música Nuestra Señora de Palomares de Trebujena,BM Nuestra Señora de Palomares,Trebujena,Cádiz,banda de musica nuestra senora de palomares de trebujena
Banda de Música Nuestra Señora del Carmen de Prado del Rey,BM Nuestra Señora del Carmen,Prado del Rey,Cádiz,banda de musica nuestra senora del carmen de prado del rey
Banda de Música Nuestra Señora del Rosario de El Cuervo de Sevilla,BM Nuestra Señora del Rosario,Cuervo de Sevilla (El),Sevilla,banda de musica nuestra senora del rosario de el cuervo de sevilla
Banda de Música Nuestro Padre Jesús Nazareno de Rota,BM Nuestro Padre Jesús Nazareno,Rota,Cádiz,banda de musica nuestro padre jesus nazareno de rota
Banda de Música Santa María del Alcor de El Viso del Alcor,BM Santa María del Alcor,Viso del Alcor (El),Sevilla,banda de musica santa maria del alcor de el viso del alcor
Banda de Música Sinfónica del Liceo Municipal de la Música de Moguer,BM Sinfónica del Liceo Municipal de la Música,Moguer,Huelva,banda de musica sinfonica del liceo municipal de la musica de moguer
Banda de Música Sinfónica Municipal de Huelva,BM Sinfónica Municipal,Huelva,Huelva,banda de musica sinfonica municipal de huelva
Banda de Música Virgen de las Mercedes de Bollullos Par del Condado,BM Virgen de las Mercedes,Bollullos Par del Condado,Huelva,banda de musica virgen de las mercedes de bollullos par del condado
Banda Municipal de Granada,BM Municipal (Granada),Granada,Granada,banda municipal de granada
Banda Municipal de Morón de la Frontera,BM Municipal (Morón de la Frontera),Morón de la Frontera,Sevilla,banda municipal de moron de la frontera
Banda y Unidad de Música Nuestra Señora de los Ángeles de Granada,BUM Nuestra Señora de los Ángeles,Granada,Granada,banda y unidad de musica nuestra senora de los angeles de granada
Sección Musical Nuestra Señora de las Angustias de Motril,SM Nuestra Señora de las Angustias,Motril,Granada,seccion musical nuestra senora de las angustias de motril
