HERMANDAD,DIA,PASO_PROPUESTO,CONFIANZA,NOTA
Nazareno,Jueves Santo,,SIN_TITULAR,"Sin CCTT/AM (riguroso silencio en los dos pasos) y sin nombre de titular en el texto."
Caridad,Jueves Santo,Cristo de la Caridad,ALTA,"Titular literal: el Cristo de la Caridad."
Caído,Jueves Santo,Jesús Caído,ALTA,"Titular literal: Nuestro Padre Jesús Caído."
Sagrada Cena,Jueves Santo,Jesús de la Fe,ALTA,"Titular literal: Nuestro Padre Jesús de la Fe."
Angustias,Jueves Santo,,DESCARTADO,"Confirmado por el usuario 2026-09-07: se descarta como palio, no es paso de Cristo."
Cristo de Gracia,Jueves Santo,Cristo de Gracia,ALTA,"Titular literal: Santísimo Cristo de Gracia."
Buena Muerte,Viernes Santo,,SIN_TITULAR,"Sin CCTT/AM (riguroso silencio) y el programa no da el titular explícito (aunque es conocida popularmente, prefiero no asumirlo sin confirmar)."
Dolores de Alcolea,Viernes Santo,,VIRGEN_ONLY,"Confirmado por el usuario 2026-09-07: hermandad Virgen-only, sin paso de Cristo. Se crea la hermandad (sin carrera oficial, ORDEN=8 al final del día) pero sin ningún paso."
Sepulcro,Viernes Santo,,SIN_TITULAR,"Sin CCTT/AM (capilla musical) y sin nombre de titular explícito (''el paso del Señor'')."
Soledad,Viernes Santo,,DUDOSO,"Único paso mencionado es ''María Santísima en su Soledad''. Las hermandades de Soledad suelen ser solo-Virgen (sin imagen de Cristo) -- ¿esta lo es? Si es así, no le corresponde paso en este sitio."
Expiración,Viernes Santo,Cristo de la Expiración,ALTA,"Titular literal: Santísimo Cristo de la Expiración."
Descendimiento,Viernes Santo,Cristo del Descendimiento,ALTA,"Titular literal: Santísimo Cristo del Descendimiento."
Conversión,Viernes Santo,Cristo de la Conversión,ALTA,"Titular literal: Santísimo Cristo de la Conversión."
Dolores,Viernes Santo,Cristo de la Clemencia,ALTA,"Titular literal: Santísimo Cristo de la Clemencia (la Virgen sí se llama de los Dolores, coincide con el nombre de la hermandad; el Cristo tiene título propio distinto)."
Resucitado,Domingo de Resurreccion,El Resucitado,ALTA,"Titular literal: Santísimo Cristo Resucitado."
