HERMANDAD_SLUG,HERMANDAD_NOMBRE,PASO_NOMBRE,BANDA_RAW_TEXT,BANDA_ID_CANDIDATA,BANDA_NOMBRE_CANDIDATA,BANDA_LOCALIDAD_CANDIDATA,MOTIVO_MATCH,CONFIANZA,NOTA
presentacion-al-pueblo,"Presentación al Pueblo","Jesús de los Afligidos","la banda de cornetas y tambores Santísimo Cristo de la Elevación de Campo de Criptana (Ciudad Real)",125,"Banda De Cornetas Y Tambores Santísimo Cristo De La Elevación","Campo de Criptana",unico,alta,
redencion,Redención,"La Redención","Agrupación musical de Nuestro Padre jesús de la Redención de Córdoba",2,"Agrupación Musical Nuestro Padre Jesús De La Redención",Córdoba,unico,alta,
sentencia,Sentencia,"La Sentencia","Banda de cornetas y tambores Nuestra Señora del Sol",7,"Banda De Cornetas Y Tambores Nuestra Señora Del Sol",Sevilla,unico,alta,
agonia,Agonía,"Cristo de la Agonía","la banda de Cornetas y Tambores Nuestra Señora de la Salud de Córdoba",129,"Banda De Cornetas Y Tambores Nuestra Señora De La Salud",Córdoba,unico,alta,
sangre,Sangre,"Jesús de la Sangre","la Banda de Cornetas y Tambores ""Esencia"", de Sevilla",113,"Banda De Cornetas Y Tambores Esencia",Sevilla,unico,alta,
buen-suceso,"Buen Suceso","Jesús del Buen Suceso","la BCT. ""Monte Calvario"" de Martos (Jaén)",59,"Banda De Cornetas Y Tambores Monte Calvario",Martos,unico,alta,
santa-faz,"Santa Faz","La Santa Faz","la Agrupación Musical La Pasión de Linares (Jaén)",48,"Agrupación Musical Nuestro Padre Jesús De La Pasión",Linares,unico,alta,
prendimiento,Prendimiento,"El Prendimiento","la Agrupación Musical Santísimo Cristo de Gracia (Córdoba)",40,"Agrupación Musical Santísimo Cristo De Gracia",Córdoba,unico,alta,
perdon,Perdón,"El Perdón","la BCT. ""Coronación de Espinas"" de Córdoba",31,"Banda De Cornetas Y Tambores Coronación De Espinas",Córdoba,unico,alta,
paz-y-esperanza,"Paz y Esperanza","Jesús de la Humildad y Paciencia","la Banda CCTT la Salud (Córdoba)",129,"Banda De Cornetas Y Tambores Nuestra Señora De La Salud",Córdoba,unico,alta,
calvario,Calvario,"El Calvario","la Banda de Cornetas y Tambores de Nuestro Padre Jesús Nazareno de Arahal",175,"Banda de Cornetas y Tambores Nuestro Padre Jesús Nazareno",Arahal,unico,alta,
misericordia,Misericordia,"Cristo de la Misericordia","la CCTT Caído y Fuensanta de Córdoba",283,"BCT Caído y Fuensanta",Córdoba,unico,alta,"banda fusionada creada 2026-09-07 a partir de #8+#98, confirmado por el usuario"
pasion,Pasión,"Jesús de la Pasión","la Agrupación Musical Santo Tomás de Villanueva",70,"Agrupación Musical Santo Tomás De Villanueva","Ciudad Real",unico,alta,
piedad,Piedad,"Cristo de la Piedad","la Banda de Cornetas y Tambores del Santísimo Cristo de la Expiración de Quesada, Jaén",,,,falso_positivo_localidad,baja,"el resolver casó con banda #119 (BCT Expiración de Jaén CAPITAL) solo por contener el token ""jaen"", pero el texto dice ""de Quesada, Jaén"" -- Quesada es un pueblo de la provincia, no la capital, y no hay banda de Quesada en la tabla; probable alta nueva. Además el paso real junta Cristo de la Piedad y Virgen (Dulce Nombre de María Stma. de la Esperanza) en una sola imagen/paso combinado; esta banda acompañaría el paso entero"
caridad,Caridad,"Cristo de la Caridad","la Banda de CC y TT Coronación de Espinas de Córdoba",31,"Banda De Cornetas Y Tambores Coronación De Espinas",Córdoba,unico,alta,
caido,Caído,"Jesús Caído","La Banda de Cornetas y Tambores de Nuestro Padre Jesús Caído y Ntra Señora de la Fuensanta",283,"BCT Caído y Fuensanta",Córdoba,unico,alta,"banda fusionada creada 2026-09-07 a partir de #8+#98, confirmado por el usuario"
sagrada-cena,"Sagrada Cena","Jesús de la Fe","la Agrupación Musical Nuestro Padre Jesús de la Fe en su Sagrada Cena",,,,sin_match,baja,"banda propia de la propia hermandad, nombrada igual que su titular"
cristo-de-gracia,"Cristo de Gracia","Cristo de Gracia","la Agrupación Musical Santísimo Cristo de Gracia (Córdoba)",40,"Agrupación Musical Santísimo Cristo De Gracia",Córdoba,unico,alta,
descendimiento,Descendimiento,"Cristo del Descendimiento","la Banda de Cornetas y Tambores Caído y Fuensanta de Córdoba",283,"BCT Caído y Fuensanta",Córdoba,unico,alta,"banda fusionada creada 2026-09-07 a partir de #8+#98, confirmado por el usuario"
conversion,Conversión,"Cristo de la Conversión","la Agrupación Musical Nuestro Padre Jesús de la Redención (Córdoba)",2,"Agrupación Musical Nuestro Padre Jesús De La Redención",Córdoba,unico,alta,
dolores,Dolores,"Cristo de la Clemencia","la Banda de Cornetas y Tambores Esencia (Sevilla)",113,"Banda De Cornetas Y Tambores Esencia",Sevilla,unico,alta,
resucitado,Resucitado,"El Resucitado","Agrupacion Musical Santisimo Cristo de Gracia de Cordoba",40,"Agrupación Musical Santísimo Cristo De Gracia",Córdoba,unico,alta,"para ""el Misterio"""
